,date,hour,condition,wind,temperature,humidity
0,2024-09-24,12:30,Clear,1.06,29,12
1,2024-09-24,15:30,Clear,1.45,31,9
2,2024-09-24,18:30,Clear,3.05,32,8
3,2024-09-24,21:30,Clear,2.37,28,11
4,2024-09-25,00:30,Clear,3.52,27,15
5,2024-09-25,03:30,Clear,2.58,25,15
6,2024-09-25,06:30,Clear,2.1,24,16
7,2024-09-25,09:30,Clear,0.94,28,14
8,2024-09-25,12:30,Clear,1.16,32,11
9,2024-09-25,15:30,Clear,0.58,34,8
10,2024-09-25,18:30,Clear,3.26,31,10
11,2024-09-25,21:30,Clear,3.34,28,16
12,2024-09-26,00:30,Clear,3.08,26,22
13,2024-09-26,03:30,Clear,2.06,24,26
14,2024-09-26,06:30,Clear,1.59,23,27
15,2024-09-26,09:30,Clear,1.6,27,20
16,2024-09-26,12:30,Clear,2.77,31,13
17,2024-09-26,15:30,Clear,2.68,33,10
18,2024-09-26,18:30,Clear,5.04,28,21
19,2024-09-26,21:30,Clear,3.72,25,29
20,2024-09-27,00:30,Clear,2.46,23,34
21,2024-09-27,03:30,Clear,2.4,21,39
22,2024-09-27,06:30,Clear,2.62,20,40
23,2024-09-27,09:30,Clear,2.22,23,33
24,2024-09-27,12:30,Clear,1.96,27,25
25,2024-09-27,15:30,Clear,2.76,30,19
26,2024-09-27,18:30,Clear,5.91,26,25
27,2024-09-27,21:30,Clear,2.71,24,30
28,2024-09-28,00:30,Clear,0.33,22,33
29,2024-09-28,03:30,Clear,0.27,20,37
30,2024-09-28,06:30,Clear,0.1,20,38
31,2024-09-28,09:30,Clear,1.14,23,32
32,2024-09-28,12:30,Clear,2.05,27,24
33,2024-09-28,15:30,Clear,1.79,29,19
34,2024-09-28,18:30,Clear,5.69,26,22
35,2024-09-28,21:30,Clear,2.22,23,27
36,2024-09-29,00:30,Clear,1.94,21,30
37,2024-09-29,03:30,Clear,0.85,20,32
38,2024-09-29,06:30,Clear,0.93,19,33
39,2024-09-29,09:30,Clear,1.74,21,27
