,date,hour,condition,wind,temperature,humidity
0,2024-08-30,1830,Clouds,3.43,31,14
1,2024-08-30,2130,Clouds,4.15,30,16
2,2024-08-31,0030,Clear,2.99,29,14
3,2024-08-31,0330,Clear,1.96,26,12
4,2024-08-31,0630,Clear,1.67,26,13
5,2024-08-31,0930,Clear,2.84,27,11
6,2024-08-31,1230,Clear,2.62,30,11
7,2024-08-31,1530,Clear,2.37,31,11
8,2024-08-31,1830,Clear,3.06,32,12
9,2024-08-31,2130,Clear,3.49,30,13
10,2024-09-01,0030,Clear,2.46,29,14
11,2024-09-01,0330,Clear,1.25,27,13
12,2024-09-01,0630,Clear,1.16,27,13
13,2024-09-01,0930,Clear,2.35,29,11
14,2024-09-01,1230,Clear,2.62,31,11
15,2024-09-01,1530,Clear,2.46,32,10
16,2024-09-01,1830,Clear,2.83,32,10
17,2024-09-01,2130,Clear,2.54,31,11
18,2024-09-02,0030,Clear,2.62,30,12
19,2024-09-02,0330,Clear,1.67,28,13
20,2024-09-02,0630,Clear,1.39,28,13
21,2024-09-02,0930,Clear,2.97,29,11
22,2024-09-02,1230,Clear,2.88,30,11
23,2024-09-02,1530,Clear,2.28,32,10
24,2024-09-02,1830,Clear,2.99,32,10
25,2024-09-02,2130,Clear,2.16,31,12
26,2024-09-03,0030,Clear,2.31,30,13
27,2024-09-03,0330,Clear,1.2,28,13
28,2024-09-03,0630,Clear,0.56,28,13
29,2024-09-03,0930,Clear,2.82,29,12
30,2024-09-03,1230,Clear,2.41,31,11
31,2024-09-03,1530,Clear,1.9,33,10
32,2024-09-03,1830,Clear,2.28,33,9
33,2024-09-03,2130,Clear,2.17,32,10
34,2024-09-04,0030,Clear,1.17,31,10
35,2024-09-04,0330,Clear,0.68,29,10
36,2024-09-04,0630,Clouds,0.42,29,10
37,2024-09-04,0930,Clear,1.81,31,9
38,2024-09-04,1230,Clear,2.31,33,8
39,2024-09-04,1530,Clear,2.06,35,8
